Code,Company_Name,Sector
AALI,Astra Agro Lestari Tbk.,Consumer Non-Cyclicals
ABBA,Mahaka Media Tbk.,Consumer Cyclicals
ABDA,Asuransi Bina Dana Arta Tbk.,Financials
ABMM,ABM Investama Tbk.,Energy
ACES,Aspirasi Hidup Indonesia Tbk.,Consumer Cyclicals
ACRO,Samcro Hyosung Adilestari Tbk.,Consumer Cyclicals
ACST,Acset Indonusa Tbk.,Infrastructure
ADCP,Adhi Commuter Properti Tbk.,Properties & Real Estate
ADES,Akasha Wira International Tbk.,Consumer Non-Cyclicals
ADHI,Adhi Karya (Persero) Tbk.,Infrastructure
ADMF,Adira Dinamika Multi Finance T,Financials
ADMG,Polychem Indonesia Tbk,Basic Materials
ADMR,Adaro Minerals Indonesia Tbk.,Energy
ADRO,Alamtri Resources Indonesia Tb,Energy
AEGS,Anugerah Spareparts Sejahtera,Consumer Cyclicals
AGAR,Asia Sejahtera Mina Tbk.,Consumer Non-Cyclicals
AGII,Samator Indo Gas Tbk.,Basic Materials
AGRO,Bank Raya Indonesia Tbk.,Financials
AGRS,Bank IBK Indonesia Tbk.,Financials
AHAP,Asuransi Harta Aman Pratama Tbk.,Financials
AIMS,Artha Mahiya Investama Tbk.,Energy
AISA,FKS Food Sejahtera Tbk.,Consumer Non-Cyclicals
AKKU,Anugerah Kagum Karya Utama Tbk,Consumer Cyclicals
AKPI,Argha Karya Prima Industry Tbk,Basic Materials
AKRA,AKR Corporindo Tbk.,Energy
AKSI,Mineral Sumberdaya Mandiri Tbk,Transportation & Logistics
ALDO,Alkindo Naratama Tbk.,Basic Materials
ALII,Ancara Logistics Indonesia Tbk,Energy
ALKA,Alakasa Industrindo Tbk,Basic Materials
ALMI,Alumindo Light Metal Industry,Basic Materials
ALTO,Tri Banyan Tirta Tbk.,Consumer Non-Cyclicals
AMAG,Asuransi Multi Artha Guna Tbk.,Financials
AMAN,Makmur Berkah Amanda Tbk.,Properties & Real Estate
AMAR,Bank Amar Indonesia Tbk.,Financials
AMFG,Asahimas Flat Glass Tbk.,Industrials
AMIN,Ateliers Mecaniques D Indonesi,Industrials
AMMN,Amman Mineral Internasional Tb,Basic Materials
AMMS,Agung Menjangan Mas Tbk.,Consumer Non-Cyclicals
AMOR,Ashmore Asset Management Indon,Financials
AMRT,Sumber Alfaria Trijaya Tbk.,Consumer Non-Cyclicals
ANDI,Andira Agro Tbk.,Consumer Non-Cyclicals
ANJT,Austindo Nusantara Jaya Tbk.,Consumer Non-Cyclicals
ANTM,Aneka Tambang Tbk.,Basic Materials
APEX,Apexindo Pratama Duta Tbk.,Energy
APIC,Pacific Strategic Financial Tb,Financials
APII,Arita Prima Indonesia Tbk.,Industrials
APLI,Asiaplast Industries Tbk.,Basic Materials
APLN,Agung Podomoro Land Tbk.,Properties & Real Estate
ARCI,Archi Indonesia Tbk.,Basic Materials
AREA,Dunia Virtual Online Tbk.,Technology
ARGO,Argo Pantes Tbk,Consumer Cyclicals
ARII,Atlas Resources Tbk.,Energy
ARKA,Arkha Jayanti Persada Tbk.,Industrials
ARKO,Arkora Hydro Tbk.,Infrastructure
ARMY,Armidian Karyatama Tbk.,Properties & Real Estate
ARNA,Arwana Citramulia Tbk.,Industrials
ARTA,Arthavest Tbk,Consumer Cyclicals
ARTI,Ratu Prabu Energi Tbk,Energy
ARTO,Bank Jago Tbk.,Financials
ASBI,Asuransi Bintang Tbk.,Financials
ASDM,Asuransi Dayin Mitra Tbk.,Financials
ASGR,Astra Graphia Tbk.,Industrials
ASHA,Cilacap Samudera Fishing Indus,Consumer Non-Cyclicals
ASII,Astra International Tbk.,Industrials
ASJT,Asuransi Jasa Tania Tbk.,Financials
ASLC,Autopedia Sukses Lestari Tbk.,Consumer Cyclicals
ASLI,Asri Karya Lestari Tbk.,Infrastructure
ASMI,Asuransi Maximus Graha Persada,Financials
ASPI,Andalan Sakti Primaindo Tbk.,Properties & Real Estate
ASRI,Alam Sutera Realty Tbk.,Properties & Real Estate
ASRM,Asuransi Ramayana Tbk.,Financials
ASSA,Adi Sarana Armada Tbk.,Transportation & Logistics
ATAP,Trimitra Prawara Goldland Tbk.,Properties & Real Estate
ATIC,Anabatic Technologies Tbk.,Technology
ATLA,Atlantis Subsea Indonesia Tbk.,Energy
AUTO,Astra Otoparts Tbk.,Consumer Cyclicals
AVIA,Avia Avian Tbk.,Basic Materials
AWAN,Era Digital Media Tbk.,Technology
AXIO,Tera Data Indonusa Tbk.,Technology
AYAM,Janu Putra Sejahtera Tbk.,Consumer Non-Cyclicals
AYLS,Agro Yasa Lestari Tbk.,Basic Materials
PTBA,Bukit Asam Tbk.,Energy
BABP,Bank MNC Internasional Tbk.,Financials
BABY,Multitrend Indo Tbk.,Consumer Cyclicals
BACA,Bank Capital Indonesia Tbk.,Financials
BAIK,Bersama Mencapai Puncak Tbk.,Consumer Cyclicals
BAJA,Saranacentral Bajatama Tbk.,Basic Materials
BALI,Bali Towerindo Sentra Tbk.,Infrastructure
BANK,Bank Aladin Syariah Tbk.,Financials
BAPA,Bekasi Asri Pemula Tbk.,Properties & Real Estate
BAPI,Bhakti Agung Propertindo Tbk.,Properties & Real Estate
BATA,Sepatu Bata Tbk.,Consumer Cyclicals
BATR,Benteng Api Technic Tbk.,Basic Materials
BAUT,Mitra Angkasa Sejahtera Tbk.,Consumer Cyclicals
BAYU,Bayu Buana Tbk,Consumer Cyclicals
BBCA,Bank Central Asia Tbk.,Financials
BBHI,Allo Bank Indonesia Tbk.,Financials
BBKP,Bank KB Bukopin Tbk.,Financials
BBLD,Buana Finance Tbk.,Financials
BBMD,Bank Mestika Dharma Tbk.,Financials
BBNI,Bank Negara Indonesia (Persero) Tbk.,Financials
BBRI,Bank Rakyat Indonesia (Persero) Tbk.,Financials
BBRM,Pelayaran Nasional Bina Buana,Energy
BBSI,Krom Bank Indonesia Tbk.,Financials
BBSS,Bumi Benowo Sukses Sejahtera T,Properties & Real Estate
BBTN,Bank Tabungan Negara (Persero),Financials
BBYB,Bank Neo Commerce Tbk.,Financials
BCAP,MNC Kapital Indonesia Tbk.,Financials
BCIC,Bank JTrust Indonesia Tbk.,Financials
BCIP,Bumi Citra Permai Tbk.,Properties & Real Estate
BDKR,Berdikari Pondasi Perkasa Tbk.,Infrastructure
BDMN,Bank Danamon Indonesia Tbk.,Financials
BEBS,Berkah Beton Sadaya Tbk.,Basic Materials
BEEF,Estika Tata Tiara Tbk.,Consumer Non-Cyclicals
BEER,Jobubu Jarum Minahasa Tbk.,Consumer Non-Cyclicals
BEKS,Bank Pembangunan Daerah Banten,Financials
BELI,Global Digital Niaga Tbk.,Technology
BELL,Trisula Textile Industries Tbk,Consumer Cyclicals
BESS,Batulicin Nusantara Maritim Tb,Energy
BEST,Bekasi Fajar Industrial Estate,Properties & Real Estate
BFIN,BFI Finance  Indonesia Tbk.,Financials
BGTG,Bank Ganesha Tbk.,Financials
BHAT,Bhakti Multi Artha Tbk.,Financials
BHIT,MNC Asia Holding Tbk.,Industrials
BIKA,Binakarya Jaya Abadi Tbk.,Properties & Real Estate
BIKE,Sepeda Bersama Indonesia Tbk.,Consumer Cyclicals
BIMA,Primarindo Asia Infrastructure,Consumer Cyclicals
BINA,Bank Ina Perdana Tbk.,Financials
BINO,Perma Plasindo Tbk.,Industrials
BIPI,Astrindo Nusantara Infrastrukt,Energy
BIPP,Bhuwanatala Indah Permai Tbk.,Properties & Real Estate
BIRD,Blue Bird Tbk.,Transportation & Logistics
BISI,BISI International Tbk.,Consumer Non-Cyclicals
BJBR,Bank Pembangunan Daerah Jawa B,Financials
BJTM,Bank Pembangunan Daerah Jawa T,Financials
BKDP,Bukit Darmo Property Tbk.,Properties & Real Estate
BKSL,Sentul City Tbk.,Properties & Real Estate
BKSW,Bank QNB Indonesia Tbk.,Financials
BLES,Superior Prima Sukses Tbk.,Basic Materials
BLTA,Berlian Laju Tanker Tbk,Transportation & Logistics
BLTZ,Graha Layar Prima Tbk.,Consumer Cyclicals
BLUE,Berkah Prima Perkasa Tbk.,Industrials
BMAS,Bank Maspion Indonesia Tbk.,Financials
BMBL,Lavender Bina Cendikia Tbk.,Consumer Cyclicals
